Entidade,NIF,Constituição (t0),Data primeira intervervenção (t1),Total Máximo Reportado em Investimento (em t2),Total FINOVA,Nº Investidores FINOVA,Total Aumento de CS desde 1ª intervenção (t1),CS Final Intervenção (em t2),Total Aumento CS (Inv),CAE,Empresa não sediada em PT,Exit,Emissão de Valores Mobiliários,Montante,Data Emissão,Categorias de Acções,Nº de Acções Especiais,Valor nominal Acções,Nº Investidores (t2),Nº Investidores (t2) FCR´s e SCR´s,Nº Investidores (t2) Outros,Investidores 1,Investidores 2,Investidores 3,Investidores 4,Investidores 5,Investidores 6,Investidores 7,Investidores 8,Investidores 9,Investidores 10,Investidores 11,Investidores 12,Investidores 13,Investidores 14,Investidores 15,Investidores 16,Investidores 17,Investidores 18,Investidores 19,Investidores 20,Investidores 21
"LASERLEAP TECHNOLOGIES,S.A.",509992544,2011,2013,4.30E+05,4.30E+05,1.00,3.33E+04,5.83E+04,2.52E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,519,608.00",0.01,3.00E+00,2.00E+00,1.00E+00,Busy Angels,FCR ISTART I,"Hovione Capital, SCR S.A.",,,,,,,,,,,,,,,,,,
"ECOFOOT, S.A.",510252362,2012,2013,6.60E+05,6.60E+05,2.00,5.50E+03,7.21E+04,5.50E+03,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"1,571,428.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR ISTART I,"TEX Risco, SGPS, SA",,,,,,,,,,,,,,,,,,,
"EIDT - ENGENHARIA, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO, S.A.",509221785,2009,2012,3.50E+05,3.50E+05,1.00,9.00E+04,1.50E+05,,F - Construção,,,Sem registo,0.00E+00,0,Y,"50,000.00",5.00,2.00E+00,1.00E+00,1.00E+00,FCR FAST Change II,Grupo EDP,,,,,,,,,,,,,,,,,,,
"CELL2B - ADVANCED THERAPEUTICS, S.A.",509687040,2011,2012,1.27E+06,1.74E+06,3.00,4.04E+04,5.60E+04,3.95E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"120,513.00",0.84,7.00E+00,2.00E+00,5.00E+00,FCR FAST Change II,"Shilling Capital Partners, Lda",Magnum Capital Partners,"Vallis ­ SGPS, S.A.","SharkAB ­ Consultores, Lda",Biocant ­ Associação,FCR Revitalizar Centro,,,,,,,,,,,,,,
"CONVERDE, S.A.",509720765,2011,2012,1.00E+06,1.00E+06,1.00,1.25E+04,6.25E+04,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"2,494,210.00",0.01,2.00E+00,2.00E+00,0.00E+00,Fast Change,FCR FAST Change II,,,,,,,,,,,,,,,,,,,
"5ENSESINFOOD, S.A.",510257127,2012,2013,1.00E+06,1.00E+06,3.00,4.90E+05,5.65E+05,4.90E+05,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,0.00,3.00E+00,1.00E+00,2.00E+00,FCR FAST Change II,BrainInvest,IA - FCI - Ciências da Vida,,,,,,,,,,,,,,,,,,
NMUSIC S.A.,509280285,2010,2013,4.50E+06,4.50E+06,1.00,6.78E+03,6.78E+04,,J - Actividades de informação e de comunicação,,,Obrigações,4.00E+06,2014,N,0.00,1.00,2.00E+00,1.00E+00,1.00E+00,Pathena,FCR Revitalizar Norte,,,,,,,,,,,,,,,,,,,
THELIAL TECHNOLOGIES S.A.,509066569,2009,2010,3.60E+05,1.79E+05,1.00,7.00E+04,1.36E+05,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"5,000.00",1.00,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures ACTEC II,Biocant Ventures,,,,,,,,,,,,,,,,,,,
"MUZZLEY, S.A.",510354050,2012,2012,1.89E+06,3.00E+05,1.00,2.94E+04,8.44E+04,1.96E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,438,596.00",0.01,4.00E+00,3.00E+00,1.00E+00,FCR Istart I,Fundo de Capital de Risco Portugal Ventures Valor 2,Plug & Play Accelarator,ESV III,,,,,,,,,,,,,,,,,
"EPEDAL, SGPS S.A.",508077036,2007,2015,2.50E+06,2.50E+06,2.00,1.32E+04,8.78E+04,1.32E+04,K - Actividades financeiras e de seguros,,,Sem registo,0.00E+00,0,N,0.00,5.00,2.00E+00,2.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,FCR PME / Novo Banco,,,,,,,,,,,,,,,,,,,
"QAMINE PORTUGAL, S.A",510815120,2013,2013,5.00E+05,2.75E+05,1.00,4.27E+05,4.27E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"42,249,938.00",0.01,2.00E+00,1.00E+00,1.00E+00,"FABER VENTURES, S.A.",FCR Istart I,,,,,,,,,,,,,,,,,,,
QAMINE LIMITED,8374290,2013,2015,8.25E+05,0.00E+00,0.00,5.87E+00,1.44E+01,,J - Information and communication,,,Sem registo,0.00E+00,0,UK LLC,,UK LLC,8.00E+00,2.00E+00,6.00E+00,"FABER VENTURES, S.A. (via QAMINE PORTUGAL, S.A)",ISTART - I,Seedcamp,Caixa Capital,Faber Ventures,Henrique de Castro,Join Capital,Undisclosure Angel Investment,,,,,,,,,,,,,
"JSCRAMBLER, S.A.",508268516,2007,2013,1.30E+06,1.30E+06,1.00,9.01E+04,9.51E+04,2.56E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,560,527.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,,,
"PETSYS ELECTRONICS - MEDICAL PET DETECTORS,",510861679,2013,2013,9.15E+05,9.15E+05,1.00,1.35E+05,4.54E+05,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.01,3.00E+00,2.00E+00,1.00E+00,FCR Portugal Ventures Early Stage,FCR Portugal Ventures Universitas,Universidade do Porto,,,,,,,,,,,,,,,,,,
"ICLIO, S.A.",508991390,2009,2014,1.65E+06,1.37E+06,2.00,5.33E+04,5.83E+04,2.33E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,333,333.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures Turismo Inovação,Busy Angels,,,,,,,,,,,,,,,,,,,
"FRIDAY: CIÊNCIA E ENGENHARIA DO LAZER, S.A.",510445276,2012,2014,1.20E+06,1.00E+06,1.00,6.22E+04,6.42E+04,1.46E+04,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,Y,"2,024,331.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Turismo Inovação,,,,,,,,,,,,,,,,,,,,
"FAIRWAY, MEDICAL TOURISM PORTUGAL, S.A.",510603556,2013,2013,6.20E+05,6.20E+05,3.00,1.00E+05,1.01E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"5,912,568.00",0.01,3.00E+00,1.00E+00,2.00E+00,FCR Portugal Ventures Turismo Inovação,Busy Angels,Eggnest,,,,,,,,,,,,,,,,,,
"MAGNOMICS, S.A.",510646778,2013,2014,2.20E+05,1.64E+05,2.00,3.33E+05,3.34E+06,1.32E+05,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.01,5.00E+00,2.00E+00,3.00E+00,Fundo de Capital de Risco Beta Ciências da Vida,PNV Capital,Fundo de Capital de Risco Portugal Ventures,"INESC ID­Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa",NESC Microsistemas e Nanotecnologias ­ Instituto de engenharia de Sistemas e Computadores para os Microsistemas e as Nanotecnologias,,,,,,,,,,,,,,,,
"WEDELIVERAWESOMEAPPS, S.A.",510804519,2013,2014,1.73E+06,1.73E+06,1.00,6.28E+04,6.28E+04,2.04E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"766,336.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Turismo Inovação FCR,,,,,,,,,,,,,,,,,,,,
"AMANHÃ GLOBAL, S.A.",510824625,2013,2014,6.50E+05,4.50E+05,1.00,6.52E+04,6.77E+04,2.87E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,869,851.00",0.01,2.00E+00,1.00E+00,1.00E+00,Fundo de Capital de Risco Portugal Ventures Early Stage,"Indexingnition­ Investimentos e Consultoria, Lda",,,,,,,,,,,,,,,,,,,
"KINEMATIX SENSE, S.A.",507896068,2007,2008,6.50E+06,1.50E+06,1.00,8.93E+05,8.37E+05,8.84E+05,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"53,914,802.00",0.01,4.00E+00,2.00E+00,2.00E+00,FCR Portugal Ventures Internacionalização,Inesc Porto,FCR InovCapital,"CIENCIVEST, VALORIZAÇÃO ECONÓMICA DA CIÊNCIA, S.A.",,,,,,,,,,,,,,,,,
"MOODOPTIC, S.A.",507798325,2006,2014,1.17E+06,1.17E+06,1.00,1.39E+05,3.19E+05,9.71E+04,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,Y,"9,709,247.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,,,
"MAPS WITH LIFE, S.A. - EM LIQUIDAÇÃO",510740480,2013,2013,3.85E+05,3.85E+05,2.00,7.84E+04,7.84E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,243,743.00",0.10,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures Turismo Inovação,PNV Capital,,,,,,,,,,,,,,,,,,,
"TURFLYNX, LDA",513233989,2014,2014,3.00E+05,3.00E+05,1.00,3.79E+03,8.79E+03,3.79E+03,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,1.00E+00,1.00E+00,Fundo ASK Capital,MERMAID INVESTMENTS B.V.,,,,,,,,,,,,,,,,,,,
"ECT - BUSINESS OPORTUNITY, COMPRA E VENDA DE VIATURAS, LDA",510064256,2014,2014,4.00E+05,4.00E+05,1.00,1.67E+03,6.67E+03,1.67E+03,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,Fundo ASK Capital,,,,,,,,,,,,,,,,,,,,
WISE CONNECT S.A.,513112146,2014,2014,3.50E+05,3.50E+05,1.00,4.40E+04,5.00E+04,1.80E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"125,000.00",0.10,1.00E+00,1.00E+00,0.00E+00,FCR Minho Inovação e Internacionalização,,,,,,,,,,,,,,,,,,,,
"GUM CHEMICAL SOLUTIONS, S.A.",510551890,2013,2015,1.00E+06,1.00E+06,1.00,7.92E+03,7.04E+04,7.92E+03,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Ask Celta,,,,,,,,,,,,,,,,,,,,
"TOP RESEARCH, S.A.",509841686,2012,2015,9.30E+05,9.30E+05,2.00,3.68E+04,6.08E+04,2.08E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,083,381.00",0.01,2.00E+00,2.00E+00,0.00E+00,FCR Portugal Ventures ACTEC II,FCR Minho Inovação e Internacionalização,,,,,,,,,,,,,,,,,,,
BULLET SOLUTIONS - SISTEMAS DE INFORMAÇÃO S.A.,507491300,2006,2015,5.20E+05,5.20E+05,1.00,3.89E+04,1.89E+07,3.89E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"3,893,194.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures ACTEC II,,,,,,,,,,,,,,,,,,,,
"PEPFEED, S,A",510820484,2013,2015,2.50E+05,2.50E+05,1.00,5.26E+04,5.51E+04,1.20E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"1,198,581.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Universitas,,,,,,,,,,,,,,,,,,,,
"MYGON, S.A.",510005420,2011,2012,7.00E+05,7.00E+05,1.00,6.02E+05,1.96E+05,6.82E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"10,778,050.00",0.01,5.00E+00,1.00E+00,4.00E+00,FCR Portugal Ventures Turismo Inovação,"AFSA ­SGPS, S.A","EntreParentesis ­SGPS,S.A.","B31­ Investimentos, Lda­","Innovation Makers ­ serviços de Consultoria em Inovação, Lda­",,,,,,,,,,,,,,,,
"IMMUNETHEP, S.A.",510824439,2013,2015,7.50E+05,7.50E+05,1.00,5.61E+04,5.71E+04,3.86E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"1,387,347.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures Biocant,"Venture Catalysts, Lda",,,,,,,,,,,,,,,,,,,
"WATT-IS, S.A.",510207715,2012,2015,4.00E+05,4.00E+05,1.00,4.40E+04,5.00E+04,1.75E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.10,1.00E+00,1.00E+00,0.00E+00,FCR Minho Inovação e Internacionalização,,,,,,,,,,,,,,,,,,,,
"WEBANKOR, S.A.",510060625,2012,2013,6.00E+05,6.00E+05,2.00,1.34E+05,1.62E+05,4.07E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"3,448,276.00",0.01,3.00E+00,1.00E+00,2.00E+00,FCR Portugal Ventures Early Stage,PNV Capital,Busy Angels,,,,,,,,,,,,,,,,,,
"POSSIBLE ANSWER , S.A",513140603,2014,2015,3.53E+05,3.53E+05,1.00,8.68E+04,8.81E+04,2.58E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,584,555.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures ACTEC II,,,,,,,,,,,,,,,,,,,,
"BEYONDEVICES, S.A.",510224954,2012,2015,4.60E+05,4.60E+05,1.00,6.90E+04,7.00E+04,2.00E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,0.01,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures Internacionalização,NEUTROPLAST ­ INDÚSTRIA DE EMBALAGENS PLÁSTICAS S.A.,,,,,,,,,,,,,,,,,,,
"FOLLOW INSPIRATION, S.A.",510154212,2012,2014,8.00E+05,8.00E+05,2.00,6.88E+04,7.38E+04,4.12E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,563,683.00",0.01,2.00E+00,1.00E+00,1.00E+00,Portugal Ventures,"TIC Risco, SGPS, SA",,,,,,,,,,,,,,,,,,,
"PETAPILOT, S.A.",510961304,2014,2015,5.00E+05,5.00E+05,1.00,1.25E+04,6.25E+04,1.25E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,Fundo ASK Celta,,,,,,,,,,,,,,,,,,,,
"CUBO ENVIRONMENTAL TECHNOLOGIES, S.A.",513093893,2014,2015,3.10E+05,3.10E+05,1.00,1.41E+05,1.46E+05,4.62E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"4,616,451.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Early Stage,,,,,,,,,,,,,,,,,,,,
"GRAPHENEST, S.A.",513542850,2015,2015,2.50E+05,2.50E+05,1.00,5.82E+04,5.82E+04,3.30E+03,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"824,176.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,,,
MORNING HEROES S.A.,513603980,2015,2015,7.00E+05,7.00E+05,1.00,1.27E+05,1.27E+05,2.85E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,189,477.00",0.01,3.00E+00,1.00E+00,2.00E+00,FCR Portugal Ventures Early Stage,Global Accelerator Year 3 B.V,Plopper B.V. ,,,,,,,,,,,,,,,,,,
"MICE - MOLDS AND INJECTED COMPONENTS ENGINEERING, S.A.",510662790,2013,2015,5.00E+04,5.00E+04,1.00,6.69E+04,7.70E+04,2.70E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,702,600.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures ACTEC II,,,,,,,,,,,,,,,,,,,,
"BLOOMERS, S.A.",510803601,2013,2015,4.50E+05,4.50E+05,1.00,2.04E+05,2.09E+05,5.40E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,399,002.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,,,
"FASTINOV, S.A.",510740898,2013,2015,3.75E+05,3.00E+05,1.00,8.78E+04,9.08E+04,3.28E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,628,000.00",0.01,2.00E+00,1.00E+00,1.00E+00,Busy Angels,FCR Istart I,,,,,,,,,,,,,,,,,,,
"PEEK HEALTH, S.A.",513369686,2015,2015,4.00E+05,4.00E+05,1.00,5.10E+04,5.20E+04,8.84E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"871,164.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR Portugal Ventures Biocant,"Skybusiness, S.A.",,,,,,,,,,,,,,,,,,,
"SWORD HEALTH, S.A",510675565,2013,2014,8.00E+05,8.00E+05,3.00,4.55E+04,5.26E+04,5.96E+03,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"18,627.00",1.00,3.00E+00,1.00E+00,2.00E+00,FCR Fast Change II,BrainCapital,"New Ventures SGPS, SA",,,,,,,,,,,,,,,,,,
"EXOGENUS THERAPEUTICS, S.A.",513553142,2015,2015,9.00E+05,2.50E+05,1.00,5.90E+04,6.00E+04,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"14,999.00",1.00,2.00E+00,2.00E+00,0.00E+00,Caixa Capital,FCR Fast Change II,,,,,,,,,,,,,,,,,,,
"LUZITIN, S.A.",508853702,2009,2011,3.20E+05,3.20E+05,1.00,0.00E+00,5.00E+04,0.00E+00,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Biocant,,,,,,,,,,,,,,,,,,,,
"CHANGING EXPERIENCE, S.A.",510098371,2011,2013,1.39E+06,8.33E+05,2.00,4.21E+04,5.00E+04,1.19E+04,J - Actividades de informação e de comunicação,,FUNDO DE CAPITAL DE RISCO EMPREENDER MAIS ­ CAIXA CAPITAL,Sem registo,0.00E+00,0,Y,"726,738.00",0.01,6.00E+00,3.00E+00,3.00E+00,BGI SA,FCR Portugal Ventures ACTEC II,"SMARTEQUITY SGPS, LDA","INTERCAPITAL­ INVESTIMENTOS E GESTÃO DE ACTIVOS, S.A",FUNDO DE CAPITAL DE RISCO EMPREENDER MAIS ­ CAIXA CAPITAL,FUNDO DE CAPITAL DE RISCO CAIXA TECH TRANSFER ACCELERATOR VENTURES,,,,,,,,,,,,,,,
"CARDMOBILI DESENVOLVIMENTO DE SOFTWARE, S.A.",508559588,2008,2013,1.15E+06,1.15E+06,1.00,2.50E+04,7.50E+04,2.50E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,2.00E+00,1.00E+00,1.00E+00,Pathena,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,
"FUNCTIONAL ENVIROMICS TECHNOLOGIES, S.A.",510238068,2012,2013,4.10E+05,4.10E+05,1.00,1.03E+05,1.03E+05,3.03E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"3,030,976.00",0.10,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Universitas,,,,,,,,,,,,,,,,,,,,
"ZARPH, S.A.",508949270,2009,2013,3.63E+05,3.63E+05,1.00,7.85E+04,8.20E+04,5.50E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"2,494,210.00",0.01,3.00E+00,1.00E+00,2.00E+00,FCR Portugal Ventures ACTEC II,"Agro Consultores,Lda","Talent Minds,Lda",,,,,,,,,,,,,,,,,,
E.A.D. - EMPRESA DE ARQUIVO DE DOCUMENTAÇÃO S.A.,507616944,2006,2014,2.00E+06,2.00E+06,1.00,2.08E+05,1.16E+06,2.08E+05,N - Actividades administrativas e dos serviços de apoio,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
BALFLEX PORTUGAL - COMPONENTES HIDRÁULICOS E INDUSTRIAIS S.A.,500772738,2010,2014,3.00E+06,3.00E+06,1.00,2.01E+06,5.75E+06,,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
"ZUVI NOVA, S.A.",508993970,2009,2011,4.02E+05,4.02E+05,3.00,1.01E+05,1.65E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,0.01,4.00E+00,1.00E+00,3.00E+00,Portugal Ventures,Brains2Market,Busy Angels,PNV Capital,,,,,,,,,,,,,,,,,
"FABER VENTURES, S.A.",510346812,2012,2013,1.04E+06,1.04E+06,5.00,3.53E+06,4.89E+06,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,885,932.00",1.00,5.00E+00,0.00E+00,5.00E+00,Busy Angels,PNV Capital,"Shilling Capital Partners, Lda","Tagus Innovation for Growth SGPS, SA","Sail Away, Lda",,,,,,,,,,,,,,,,
"UNIVERSITYPLACES, SERVIÇOS DE INTERNET, LDA",509955061,2011,2012,2.00E+05,1.50E+05,1.00,3.03E+03,8.34E+03,3.03E+03,J - Actividades de informação e de comunicação,,"2013, troca para UK LLC",Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,4.00E+00,0.00E+00,4.00E+00,UNIPLACES LIMITED,"Shilling Capital Partners, Lda",Alex Chesterman,William Reeve,,,,,,,,,,,,,,,,,
UNIPLACES LIMITED,8674633,2013,2013,2.24E+07,0.00E+00,0.00,2.39E+03,2.39E+03,,J - Information and communication,,,Sem registo,0.00E+00,0,UK LLC,"8,736,828.00",UK LLC,7.00E+00,1.00E+00,6.00E+00,Caixa Capital,Shilling Capital,Atomico,Octopus Ventures,Alex Chesterman,William Reeve,Rob McClatchey,,,,,,,,,,,,,,
"CHIC BY CHOICE, S.A.",510985530,2014,2014,2.00E+06,0.00E+00,0.00,1.35E+05,1.35E+05,,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,Y,"4,500,000.00",0.01,3.00E+00,1.00E+00,2.00E+00,"FABER VENTURES, S.A.",Portugal Ventures,Edge Group,,,,,,,,,,,,,,,,,,
"ADVANCED CYCLONE SYSTEMS, S.A.",508482917,2008,2009,1.50E+06,0.00E+00,0.00,3.33E+04,8.33E+04,3.33E+04,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,Y,"33,334.00",1.00,1.00E+00,1.00E+00,0.00E+00,ESV III,,,,,,,,,,,,,,,,,,,,
"MOVVO, S.A.",508977754,2009,2011,7.38E+06,0.00E+00,0.00,7.12E+04,8.62E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"53,997.00",1.00,4.00E+00,1.00E+00,3.00E+00,FCR Empreender+,SONAE IM,Dueto SGPS,BGI SA,,,,,,,,,,,,,,,,,
"BICA STUDIOS, S.A.",510781845,2013,2015,3.00E+05,0.00E+00,0.00,4.52E+05,4.58E+05,1.12E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"11,177,485.00",0.01,1.00E+00,1.00E+00,0.00E+00,Fundo de Capital de Risco Portugal Ventures Global 2,,,,,,,,,,,,,,,,,,,,
"COREWORKS - PROJECTOS DE CIRCUITOS E SISTEMAS ELECTRÓNICOS, S.A.",505298503,2006,2006,,0.00E+00,0.00,4.97E+04,5.00E+04,3.50E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,0.01,2.00E+00,1.00E+00,1.00E+00,ESV II,"Inesc ID ­ Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento",,,,,,,,,,,,,,,,,,,
"DOMATICA ­ GLOBAL SOLUTIONS, S.A.",506131610,2005,2011,,0.00E+00,0.00,9.13E+04,9.63E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,535,850.00",0.01,1.00E+00,1.00E+00,0.00E+00,ESV III,,,,,,,,,,,,,,,,,,,,
"BERD - PROJECTO, INVESTIGAÇÃO E ENGENHARIA DE PONTES S.A.",507455509,2006,2006,1.02E+06,1.02E+06,1.00,6.03E+06,7.61E+06,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,1.00,5.00E+00,3.00E+00,2.00E+00,FCR ES Ventures Inovação & Internacionalização,Fundo de Capital de Risco AICEP­ Capital Global Grande Projectos de Investimento,"Mota­ Engil, Engenharia e Construção , S. A.",Universidade do Porto,Fundo de Capital de Risco AICEP Capital Global III,,,,,,,,,,,,,,,,
"FLUIDINOVA, S.A.",507439384,2005,2005,1.16E+06,0.00E+00,0.00,4.92E+05,5.00E+05,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"30,000.00",0.00,2.00E+00,1.00E+00,1.00E+00,Fast Change,Universidade do Porto,,,,,,,,,,,,,,,,,,,
"PROCESSWARE - SOLUÇÕES INFORMÁTICAS, S.A.",508799988,2009,2014,1.00E+06,0.00E+00,0.00,7.48E+04,4.55E+05,6.97E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"7,477,603.00",0.01,2.00E+00,1.00E+00,1.00E+00,Fundo de Capital de Risco Portugal Ventures,"Eggnest, SGPS, S.A.",,,,,,,,,,,,,,,,,,,
"SOUSACAMP, SGPS S.A.",507955862,2007,2007,,0.00E+00,0.00,9.05E+05,3.29E+06,7.85E+05,K - Actividades financeiras e de seguros,,,Sem registo,0.00E+00,0,Y,"1,285,000.00",1.00,1.00E+00,1.00E+00,0.00E+00,ESV II,,,,,,,,,,,,,,,,,,,,
"YD YNVISIBLE, S.A.",509233023,2010,2013,,0.00E+00,0.00,1.19E+06,2.62E+06,,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.01,4.00E+00,1.00E+00,3.00E+00,ESV II,"CUF ­ Companhia União Fabril, SGPS, S.A","Ydreams ­ Informática, S.A.","Leadership Business Technology, S.A.",,,,,,,,,,,,,,,,,
